IP_Address,Frequency
10.4.93.131,5830
10.4.93.130,5830
10.4.91.131,5160
10.4.91.130,5160
10.4.9.139,5205
10.4.9.138,5205
10.4.84.131,5750
10.4.84.130,5750
10.4.77.131,5745
10.4.77.130,5745
10.4.67.131,5770
10.4.67.130,5770
10.4.64.131,5490
10.4.64.130,5490
10.4.63.131,5780
10.4.63.130,5780
10.4.60.131,5570
10.4.60.130,5570
10.4.59.131,5480
10.4.59.130,5480
10.4.55.139,5800
10.4.55.138,5800
10.4.54.139,5166
10.4.54.138,5166
10.4.54.130,None
10.4.53.131,5805
10.4.53.130,5805
10.4.52.139,24200
10.4.52.138,24100
10.4.52.130,None
10.4.51.139,5730
10.4.51.138,5730
10.4.47.139,5225
10.4.47.138,5225
10.4.33.131,5810
10.4.33.130,5810
10.4.31.131,5780
10.4.31.130,5780
10.4.247.59,5805
10.4.21.59,5840
10.4.21.139,5780
10.4.21.138,5780
10.4.21.131,5580
10.4.21.130,5515
10.4.2.138,2464
10.4.2.131,5220
10.4.2.130,5220
10.4.181.130,5800
10.4.176.131,5165
10.4.176.130,5165
10.4.173.139,5840
10.4.173.138,5840
10.4.172.131,5800
10.4.171.131,5835
10.4.171.130,5835
10.4.169.139,5325
10.4.169.131,5240
10.4.169.130,5240
10.4.166.131,5165
10.4.166.130,5165
10.4.165.131,5800
10.4.165.130,5800
10.4.159.131,5765
10.4.147.131,5230
10.4.147.130,5230
10.4.146.131,5765
10.4.146.130,5765
10.4.144.131,5655
10.4.144.130,5655
10.4.140.131,5485
10.4.140.130,5485
10.4.138.131,5737
10.4.138.130,5737
10.4.137.131,5825
10.4.137.130,5825
10.4.127.131,5210
10.4.127.130,5210
10.4.125.138,5520
10.4.125.131,5760
10.4.125.130,5760
10.4.124.131,24200
10.4.124.130,24100
10.4.123.131,5845
10.4.123.130,5845
10.4.121.131,5160
10.4.121.130,5160
10.4.120.139,5220
10.4.120.138,5220
10.4.119.131,5485
10.4.119.130,5485
10.4.115.131,5670
10.4.115.130,5670
10.4.114.131,3661
10.4.111.131,5690
10.4.109.131,5795
10.4.109.130,5795
10.4.107.131,3661
10.4.106.131,5275
10.4.106.130,5275
10.4.1.131,5165
10.4.1.130,5165
10.3.99.130,5800
10.3.94.131,5165
10.3.94.130,5165
10.3.66.131,5660
10.3.66.130,5660
10.3.62.131,5840
10.3.62.130,5840
10.3.35.139,5780
10.3.35.138,5780
10.3.32.131,5800
10.3.32.130,5800
10.3.24.148,5800
10.3.24.139,3666
10.3.24.131,5740
10.3.24.130,5740
10.3.2.131,5180
10.3.180.131,24100
10.3.180.130,24200
10.3.177.131,5840
10.3.177.130,5840
10.3.17.131,5190
10.3.17.130,5190
10.3.164.131,5210
10.3.164.130,5210
10.3.160.131,5840
10.3.160.130,5840
10.3.16.131,5740
10.3.16.130,5740
10.3.153.131,5730
10.3.153.130,5730
10.3.148.131,5805
10.3.148.130,5805
10.3.145.139,5780
10.3.145.138,5780
10.3.145.131,5840
10.3.145.130,5840
10.3.142.131,24200
10.3.142.130,24100
10.3.135.131,5510
10.3.135.130,5510
10.3.13.131,5160
10.3.13.130,5160
10.3.129.131,5700
10.3.129.130,5550
10.3.122.131,5820
10.3.122.130,5820
10.3.110.59,5480
10.3.108.131,5765
10.3.108.130,5765
10.3.105.138,5515
10.3.104.139,5325
10.3.104.131,5160
10.3.104.130,5160
10.3.102.131,5760
10.3.102.130,5760
10.3.101.131,5160
10.3.101.130,5160
10.3.1.131,5835
10.3.1.130,5835
10.2.97.131,5780
10.2.97.130,5780
10.2.96.139,5800
10.2.96.138,5800
10.2.96.131,5840
10.2.96.130,5840
10.2.95.131,5300
10.2.95.130,5300
10.2.92.139,5840
10.2.92.138,5840
10.2.92.131,3661
10.2.92.130,3661
10.2.90.131,5480
10.2.90.130,5480
10.2.89.139,5820
10.2.89.138,5820
10.2.88.131,5300
10.2.88.130,5300
10.2.87.131,5275
10.2.86.131,5840
10.2.86.130,5840
10.2.85.131,5740
10.2.85.130,5740
10.2.83.130,5840
10.2.82.131,5180
10.2.82.130,5180
10.2.80.131,5740
10.2.80.130,5740
10.2.79.147,None
10.2.79.139,5800
10.2.79.138,5800
10.2.78.131,5750
10.2.78.130,5750
10.2.74.100,5500
10.2.73.131,5840
10.2.73.130,5840
10.2.72.131,5690
10.2.72.130,5690
10.2.71.138,None
10.2.70.131,5660
10.2.70.130,5660
10.2.68.131,5820
10.2.68.130,5820
10.2.65.131,5840
10.2.65.130,5840
10.2.63.131,5840
10.2.63.130,5840
10.2.61.131,5580
10.2.61.130,5580
10.2.39.139,5840
10.2.39.138,5840
10.2.37.131,5165
10.2.37.130,5165
10.2.32.130,5780
10.2.30.59,5780
10.2.29.131,5165
10.2.29.130,5165
10.2.28.131,5500
10.2.28.130,5500
10.2.27.139,5780
10.2.27.138,5780
10.2.27.131,None
10.2.248.133,2412
10.2.248.132,0000
10.2.248.131,5520
10.2.248.130,5520
10.2.2.131,5835
10.2.19.131,5800
10.2.19.130,5800
10.2.18.58,5800
10.2.18.138,5240
10.2.18.131,5840
10.2.18.130,5840
10.2.17.131,5780
10.2.17.130,5780
10.2.168.139,5835
10.2.168.138,5835
10.2.168.130,None
10.2.167.131,5760
10.2.167.130,5760
10.2.163.131,5170
10.2.163.130,5840
10.2.161.131,5800
10.2.161.130,5800
10.2.158.131,5820
10.2.158.130,5820
10.2.157.131,5735
10.2.157.130,5735
10.2.155.131,5840
10.2.155.130,5840
10.2.151.131,5790
10.2.151.130,5790
10.2.150.131,5840
10.2.150.130,5840
10.2.149.139,5760
10.2.149.138,5760
10.2.149.131,5740
10.2.149.130,5740
10.2.143.131,5780
10.2.143.130,5780
10.2.141.131,5550
10.2.141.130,5550
10.2.133.131,5820
10.2.133.130,5820
10.2.131.130,5800
10.2.128.131,5800
10.2.128.130,5800
10.2.117.131,5485
10.2.117.130,5485
10.2.103.131,5500
10.2.103.130,5500
10.2.1.131,5740
10.2.1.130,5740
10.1.98.131,5800
10.1.98.130,5800
10.1.76.131,5240
10.1.76.130,5240
10.1.7.139,5300
10.1.69.59,5275
10.1.69.131,5490
10.1.69.130,5490
10.1.58.131,2417
10.1.57.139,5200
10.1.57.138,5200
10.1.56.131,5840
10.1.56.130,5840
10.1.49.131,5760
10.1.49.130,5760
10.1.46.131,5800
10.1.46.130,5800
10.1.45.131,5660
10.1.45.130,5660
10.1.44.131,5660
10.1.44.130,5545
10.1.41.139,5835
10.1.41.138,5835
10.1.41.131,5485
10.1.41.130,5485
10.1.40.131,5810
10.1.40.130,5810
10.1.39.131,5495
10.1.39.130,5500
10.1.36.139,5780
10.1.36.138,5780
10.1.29.131,5740
10.1.29.130,5740
10.1.25.139,5735
10.1.25.138,5735
10.1.24.131,5800
10.1.24.130,5800
10.1.23.131,5260
10.1.23.130,5260
10.1.179.131,5200
10.1.162.131,5200
10.1.162.130,5200
10.1.16.131,5245
10.1.16.130,5245
10.1.156.131,5770
10.1.156.130,5770
10.1.154.131,2464
10.1.154.130,2464
10.1.152.131,5170
10.1.152.130,5170
10.1.139.131,24100
10.1.139.130,24200
10.1.134.131,5840
10.1.134.130,5840
10.1.132.131,5685
10.1.132.130,5685
10.1.130.139,5840
10.1.130.138,5840
10.1.126.131,5840
10.1.126.130,5840
10.1.12.131,5735
10.1.12.130,5735
10.1.118.131,5160
10.1.116.139,5840
10.1.116.138,5840
10.1.10.131,5820
10.1.10.130,5820
10.1.1.131,5800
10.1.1.130,5800
